country,Ping Time,Ping in,server,sstp_link
Russian Federation,47,181.22,tlt.opengw.net,"<a href=""tlt.opengw.net:996"">tlt.opengw.net:996</a>"
United States,22,223.58,vpn719329406.opengw.net,"<a href=""vpn719329406.opengw.net:992"">vpn719329406.opengw.net:992</a>"
Ukraine,14,281.24,vpn647918227.opengw.net,"<a href=""vpn647918227.opengw.net:1946"">vpn647918227.opengw.net:1946</a>"
Russian Federation,130,307.98,vpn482398485.opengw.net,"<a href=""vpn482398485.opengw.net:1811"">vpn482398485.opengw.net:1811</a>"
Thailand,23,329.33,vpn997448007.opengw.net,"<a href=""vpn997448007.opengw.net:1668"">vpn997448007.opengw.net:1668</a>"
Japan,6,359.37,vpn328197073.opengw.net,"<a href=""vpn328197073.opengw.net:1243"">vpn328197073.opengw.net:1243</a>"
Korea Republic of,44,370.37,vpn800499503.opengw.net,"<a href=""vpn800499503.opengw.net:1862"">vpn800499503.opengw.net:1862</a>"
Korea Republic of,38,384.55,vpn455833044.opengw.net,"<a href=""vpn455833044.opengw.net:1807"">vpn455833044.opengw.net:1807</a>"
Korea Republic of,30,390.63,vpn753889878.opengw.net,"<a href=""vpn753889878.opengw.net:1295"">vpn753889878.opengw.net:1295</a>"
Korea Republic of,35,391.76,vpn420331459.opengw.net,"<a href=""vpn420331459.opengw.net:1941"">vpn420331459.opengw.net:1941</a>"
Korea Republic of,28,391.93,vpn568146917.opengw.net,"<a href=""vpn568146917.opengw.net:1441"">vpn568146917.opengw.net:1441</a>"
Korea Republic of,39,394.15,vpn818555213.opengw.net,"<a href=""vpn818555213.opengw.net:1243"">vpn818555213.opengw.net:1243</a>"
Korea Republic of,26,395.36,vpn795220798.opengw.net,"<a href=""vpn795220798.opengw.net:1266"">vpn795220798.opengw.net:1266</a>"
Korea Republic of,46,396.4,vpn728525982.opengw.net,"<a href=""vpn728525982.opengw.net:1806"">vpn728525982.opengw.net:1806</a>"
Korea Republic of,41,399.93,vpn649319169.opengw.net,"<a href=""vpn649319169.opengw.net:995"">vpn649319169.opengw.net:995</a>"
Korea Republic of,32,406.25,vpn768314114.opengw.net,"<a href=""vpn768314114.opengw.net:995"">vpn768314114.opengw.net:995</a>"
Japan,10,406.25,public-vpn-88.opengw.net,"<a href=""public-vpn-88.opengw.net"">public-vpn-88.opengw.net</a>"
Korea Republic of,31,407.42,vpn129310785.opengw.net,"<a href=""vpn129310785.opengw.net:995"">vpn129310785.opengw.net:995</a>"
Korea Republic of,43,408.84,vpn225724504.opengw.net,"<a href=""vpn225724504.opengw.net:1803"">vpn225724504.opengw.net:1803</a>"
Korea Republic of,29,421.88,vpn561627471.opengw.net,"<a href=""vpn561627471.opengw.net:1547"">vpn561627471.opengw.net:1547</a>"
Korea Republic of,31,433.61,vpn317491669.opengw.net,"<a href=""vpn317491669.opengw.net:1675"">vpn317491669.opengw.net:1675</a>"
Viet Nam,30,449.35,vpn919908376.opengw.net,"<a href=""vpn919908376.opengw.net"">vpn919908376.opengw.net</a>"
Korea Republic of,55,452.08,vpn987015307.opengw.net,"<a href=""vpn987015307.opengw.net:1941"">vpn987015307.opengw.net:1941</a>"
Korea Republic of,35,453.12,vpn962760032.opengw.net,"<a href=""vpn962760032.opengw.net:1270"">vpn962760032.opengw.net:1270</a>"
Korea Republic of,26,457.92,vpn951056161.opengw.net,"<a href=""vpn951056161.opengw.net:1799"">vpn951056161.opengw.net:1799</a>"
Korea Republic of,28,468.73,vpn729244390.opengw.net,"<a href=""vpn729244390.opengw.net:1287"">vpn729244390.opengw.net:1287</a>"
Korea Republic of,32,468.74,vpn574345971.opengw.net,"<a href=""vpn574345971.opengw.net:1283"">vpn574345971.opengw.net:1283</a>"
Korea Republic of,33,468.75,vpn986664832.opengw.net,"<a href=""vpn986664832.opengw.net:1382"">vpn986664832.opengw.net:1382</a>"
Japan,28,484.38,public-vpn-189.opengw.net,"<a href=""public-vpn-189.opengw.net"">public-vpn-189.opengw.net</a>"
United States,14,500.0,vpn342704850.opengw.net,"<a href=""vpn342704850.opengw.net:1311"">vpn342704850.opengw.net:1311</a>"
Korea Republic of,31,521.41,vpn235477939.opengw.net,"<a href=""vpn235477939.opengw.net:1578"">vpn235477939.opengw.net:1578</a>"
Korea Republic of,37,530.17,vpn262580528.opengw.net,"<a href=""vpn262580528.opengw.net:1263"">vpn262580528.opengw.net:1263</a>"
